,,,,All Type of Report (All Grades) for 09-Jan-2021 to 09-Sep-2026,,,,
Maharashtra,Sangli,Vegetables,Onion,23-11-2021,163.00,Metric Tonnes,1850.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,24-11-2021,365.00,Metric Tonnes,2050.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,25-11-2021,244.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,26-11-2021,182.00,Metric Tonnes,1800.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,27-11-2021,389.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,29-11-2021,450.00,Metric Tonnes,1151.33,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,30-11-2021,245.00,Metric Tonnes,1199.18,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,01-12-2021,239.00,Metric Tonnes,1350.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,02-12-2021,46.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,03-12-2021,66.00,Metric Tonnes,1650.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,04-12-2021,244.00,Metric Tonnes,1900.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,06-12-2021,343.00,Metric Tonnes,1750.73,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,07-12-2021,117.00,Metric Tonnes,2094.02,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,08-12-2021,363.00,Metric Tonnes,2000.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,09-12-2021,144.00,Metric Tonnes,1750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,10-12-2021,233.00,Metric Tonnes,2000.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,11-12-2021,377.00,Metric Tonnes,1950.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,12-12-2021,1.00,Metric Tonnes,2000.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,13-12-2021,257.00,Metric Tonnes,1850.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,14-12-2021,188.00,Metric Tonnes,1950.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,15-12-2021,385.00,Metric Tonnes,1850.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,16-12-2021,160.00,Metric Tonnes,1799.69,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,17-12-2021,243.00,Metric Tonnes,2000.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,18-12-2021,255.00,Metric Tonnes,1999.02,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,20-12-2021,328.00,Metric Tonnes,1600.46,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,21-12-2021,172.00,Metric Tonnes,1750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,22-12-2021,316.00,Metric Tonnes,2000.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,23-12-2021,244.00,Metric Tonnes,2100.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,24-12-2021,193.00,Metric Tonnes,2200.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,27-12-2021,567.00,Metric Tonnes,2351.41,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,28-12-2021,153.00,Metric Tonnes,2400.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,29-12-2021,455.00,Metric Tonnes,2350.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,30-12-2021,164.00,Metric Tonnes,2200.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,31-12-2021,222.00,Metric Tonnes,2200.68,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,01-01-2022,305.00,Metric Tonnes,2100.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,03-01-2022,232.00,Metric Tonnes,1700.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,04-01-2022,120.00,Metric Tonnes,2250.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,05-01-2022,287.00,Metric Tonnes,2050.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,07-01-2022,190.00,Metric Tonnes,2250.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,08-01-2022,363.00,Metric Tonnes,1950.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,10-01-2022,487.00,Metric Tonnes,1849.59,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,11-01-2022,471.00,Metric Tonnes,1650.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,12-01-2022,389.00,Metric Tonnes,2200.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,14-01-2022,78.00,Metric Tonnes,2100.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,17-01-2022,416.00,Metric Tonnes,1950.00,Rs./Quintal
