,,,,All Type of Report (All Grades) for 01-Jan-2021 to 09-Sep-2026,,,,
Maharashtra,Sangli,Vegetables,Tomato,06-02-2022,5.00,Metric Tonnes,2040.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,07-02-2022,2.00,Metric Tonnes,1750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,08-02-2022,8.00,Metric Tonnes,2687.50,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,10-02-2022,5.00,Metric Tonnes,2240.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,11-02-2022,8.00,Metric Tonnes,1975.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,12-02-2022,2.00,Metric Tonnes,1350.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,13-02-2022,7.00,Metric Tonnes,1785.71,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,15-02-2022,12.00,Metric Tonnes,1375.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,17-02-2022,5.00,Metric Tonnes,1330.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,18-02-2022,8.00,Metric Tonnes,1305.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,19-02-2022,2.00,Metric Tonnes,1350.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,20-02-2022,8.00,Metric Tonnes,1312.50,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,21-02-2022,3.00,Metric Tonnes,1350.00,Rs./Quintal
